Writing models at epoch 1
Loss 0.050296052642490555, Test Accuracy 0.9591847700917202, Train Accuracy 0.9817525693842096, Val Accuracy 0.9487282483474068, Test Seq Accuracy 0.21825, Train Seq Accuracy 0.6542857142857145, Val Seq Accuracy 0.09525000000000003
Writing models at epoch 2
Loss 0.01304787656535273, Test Accuracy 0.9688478169233903, Train Accuracy 0.9965786671663169, Val Accuracy 0.9607608577479487, Test Seq Accuracy 0.3390000000000001, Train Seq Accuracy 0.9258571428571432, Val Seq Accuracy 0.255
Writing models at epoch 3
Loss 0.005637038013209467, Test Accuracy 0.9702934661637181, Train Accuracy 0.9992256722465065, Val Accuracy 0.9658478156380031, Test Seq Accuracy 0.3445, Train Seq Accuracy 0.982666666666667, Val Seq Accuracy 0.35075
Writing models at epoch 4
Loss 0.003104218646236088, Test Accuracy 0.9759130321119143, Train Accuracy 0.9997339545569804, Val Accuracy 0.9705652043871258, Test Seq Accuracy 0.46975, Train Seq Accuracy 0.9939047619047638, Val Seq Accuracy 0.5157499999999999
Writing models at epoch 5
Loss 0.0008078230463940164, Test Accuracy 0.9741304210994555, Train Accuracy 0.9999875776515984, Val Accuracy 0.9779782505139061, Test Seq Accuracy 0.4487500000000001, Train Seq Accuracy 0.9997142857142857, Val Seq Accuracy 0.5730000000000001
Loss 0.0006916344003832859, Test Accuracy 0.9743043364390083, Train Accuracy 0.9999699793000152, Val Accuracy 0.9752608580433804, Test Seq Accuracy 0.44899999999999995, Train Seq Accuracy 0.9993095238095239, Val Seq Accuracy 0.5277499999999999
Loss 0.0019032409333664439, Test Accuracy 0.9794347699569619, Train Accuracy 0.9999327122301295, Val Accuracy 0.9670543360969295, Test Seq Accuracy 0.6040000000000001, Train Seq Accuracy 0.9984523809523815, Val Seq Accuracy 0.46975
Loss 0.00026661975552206456, Test Accuracy 0.9749239035274672, Train Accuracy 0.9999927536300991, Val Accuracy 0.9671086845190628, Test Seq Accuracy 0.5032500000000001, Train Seq Accuracy 0.9998333333333335, Val Seq Accuracy 0.4584999999999999
