Writing models at epoch 1
Loss 0.15045234431391177, Test Accuracy 0.9498912905869277, Train Accuracy 0.9700258593751777, Val Accuracy 0.9309347711179567, Test Seq Accuracy 0.041500000000000016, Train Seq Accuracy 0.4507619047619051, Val Seq Accuracy 0.06750000000000002
Writing models at epoch 2
Loss 0.028326710929041325, Test Accuracy 0.9496304166057835, Train Accuracy 0.9953416039608033, Val Accuracy 0.9642825983140779, Test Seq Accuracy 0.09425000000000001, Train Seq Accuracy 0.8988571428571432, Val Seq Accuracy 0.34950000000000003
Writing models at epoch 3
Loss 0.007967808972234312, Test Accuracy 0.9610869397287783, Train Accuracy 0.9993447202086202, Val Accuracy 0.9626630317905674, Test Seq Accuracy 0.33100000000000007, Train Seq Accuracy 0.9850000000000018, Val Seq Accuracy 0.36075000000000007
Loss 0.004801133728545645, Test Accuracy 0.9600108561308488, Train Accuracy 0.9996200827091131, Val Accuracy 0.9612173826798148, Test Seq Accuracy 0.26800000000000007, Train Seq Accuracy 0.9912619047619065, Val Seq Accuracy 0.29550000000000004
Loss 0.002092720373817112, Test Accuracy 0.9617717225914416, Train Accuracy 0.9999585921719948, Val Accuracy 0.9650217283031215, Test Seq Accuracy 0.34674999999999995, Train Seq Accuracy 0.9990476190476194, Val Seq Accuracy 0.33075
Loss 0.003991072916466257, Test Accuracy 0.9630869398946348, Train Accuracy 0.9996925467659968, Val Accuracy 0.9560325990552487, Test Seq Accuracy 0.35675000000000007, Train Seq Accuracy 0.9930000000000019, Val Seq Accuracy 0.22025
Loss 0.001060966564261395, Test Accuracy 0.9636086837105129, Train Accuracy 0.9999834368687979, Val Accuracy 0.9644456415072732, Test Seq Accuracy 0.34275, Train Seq Accuracy 0.9996190476190477, Val Seq Accuracy 0.31875000000000003
Loss 0.0007713004622770393, Test Accuracy 0.9623369442379993, Train Accuracy 0.9999948240214993, Val Accuracy 0.9640978153633035, Test Seq Accuracy 0.304, Train Seq Accuracy 0.9998809523809525, Val Seq Accuracy 0.31075
Loss 0.0005997788646946783, Test Accuracy 0.9630978130775949, Train Accuracy 1.0, Val Accuracy 0.9655869459328444, Test Seq Accuracy 0.32275000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.34175
Loss 0.0004809478135860485, Test Accuracy 0.9625652042420014, Train Accuracy 1.0, Val Accuracy 0.9660325987183529, Test Seq Accuracy 0.31075, Train Seq Accuracy 1.0, Val Seq Accuracy 0.34825000000000006
Loss 0.0003930009577585303, Test Accuracy 0.9623152043508447, Train Accuracy 1.0, Val Accuracy 0.9666956420825875, Test Seq Accuracy 0.308, Train Seq Accuracy 1.0, Val Seq Accuracy 0.35849999999999993
Writing models at epoch 12
Loss 0.00032578611179538393, Test Accuracy 0.9621195524930954, Train Accuracy 1.0, Val Accuracy 0.9671412946089454, Test Seq Accuracy 0.30374999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.36824999999999997
Writing models at epoch 13
Loss 0.00027319120810083723, Test Accuracy 0.9619782480208771, Train Accuracy 1.0, Val Accuracy 0.9674565116996351, Test Seq Accuracy 0.3027499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 0.00023125069539832032, Test Accuracy 0.9619347695423209, Train Accuracy 1.0, Val Accuracy 0.9674565116996351, Test Seq Accuracy 0.30249999999999994, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 0.00019725572074884954, Test Accuracy 0.9619238999874695, Train Accuracy 1.0, Val Accuracy 0.9674565116996351, Test Seq Accuracy 0.30249999999999994, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 0.00016935181844493618, Test Accuracy 0.9616956392060155, Train Accuracy 1.0, Val Accuracy 0.967434772460357, Test Seq Accuracy 0.30074999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 0.00014619289330490258, Test Accuracy 0.9615869432687759, Train Accuracy 1.0, Val Accuracy 0.967434772460357, Test Seq Accuracy 0.30025, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 0.00012677897820654124, Test Accuracy 0.9614999867003897, Train Accuracy 1.0, Val Accuracy 0.9673695548720982, Test Seq Accuracy 0.30025, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 0.00011039172987575117, Test Accuracy 0.9613043340651886, Train Accuracy 1.0, Val Accuracy 0.9672499897687331, Test Seq Accuracy 0.2995, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 9.644653081246044e-05, Test Accuracy 0.9606086820363998, Train Accuracy 1.0, Val Accuracy 0.9671847721804743, Test Seq Accuracy 0.28375, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 8.449928187157796e-05, Test Accuracy 0.9606086820363998, Train Accuracy 1.0, Val Accuracy 0.9671630330707716, Test Seq Accuracy 0.28375, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 7.424105221972518e-05, Test Accuracy 0.9606086820363998, Train Accuracy 1.0, Val Accuracy 0.9670652070771093, Test Seq Accuracy 0.28375, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 6.539614506713723e-05, Test Accuracy 0.9606086820363998, Train Accuracy 1.0, Val Accuracy 0.9670652070771093, Test Seq Accuracy 0.28375, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 5.772818163361239e-05, Test Accuracy 0.9607825954323229, Train Accuracy 1.0, Val Accuracy 0.9670652070771093, Test Seq Accuracy 0.28375, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 5.105453664841859e-05, Test Accuracy 0.9606086822955505, Train Accuracy 1.0, Val Accuracy 0.9670434679674066, Test Seq Accuracy 0.27975000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 4.523691883229691e-05, Test Accuracy 0.9606086822955505, Train Accuracy 1.0, Val Accuracy 0.9670325982829798, Test Seq Accuracy 0.27975000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
Loss 4.0129786256052874e-05, Test Accuracy 0.9606086822955505, Train Accuracy 1.0, Val Accuracy 0.9670325982829798, Test Seq Accuracy 0.27975000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.37550000000000006
