Writing models at epoch 1
Loss 0.016316280416820362, Test Accuracy 0.9521956401026768, Train Accuracy 0.9969534097867969, Val Accuracy 0.9493586842132651, Test Seq Accuracy 0.19849999999999998, Train Seq Accuracy 0.9319761904761905, Val Seq Accuracy 0.0935
Writing models at epoch 2
Loss 0.0022459883728752966, Test Accuracy 0.949869551088499, Train Accuracy 0.9997412009145409, Val Accuracy 0.95498911867971, Test Seq Accuracy 0.18299999999999997, Train Seq Accuracy 0.994047619047621, Val Seq Accuracy 0.23275
Loss 0.0008376857022876325, Test Accuracy 0.9561412939558859, Train Accuracy 0.9999710145080558, Val Accuracy 0.9576086829537931, Test Seq Accuracy 0.22125, Train Seq Accuracy 0.9993333333333336, Val Seq Accuracy 0.19825000000000004
Loss 0.0004654867655557135, Test Accuracy 0.9563804246809171, Train Accuracy 1.0, Val Accuracy 0.9562608568564706, Test Seq Accuracy 0.23349999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.18924999999999997
Loss 0.0003132343332728614, Test Accuracy 0.9564891191928283, Train Accuracy 1.0, Val Accuracy 0.9548478123934373, Test Seq Accuracy 0.22424999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16924999999999996
Loss 0.0002278797733394996, Test Accuracy 0.9564891191928283, Train Accuracy 1.0, Val Accuracy 0.9532065087038538, Test Seq Accuracy 0.22424999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15325
Loss 0.0001736235723871252, Test Accuracy 0.956010857483615, Train Accuracy 1.0, Val Accuracy 0.9529347689255424, Test Seq Accuracy 0.22175000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1515
Loss 0.00013655175090483996, Test Accuracy 0.9562065096005149, Train Accuracy 1.0, Val Accuracy 0.9528260732474534, Test Seq Accuracy 0.22175000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.149
Loss 0.00010991117755032104, Test Accuracy 0.9544673787510913, Train Accuracy 1.0, Val Accuracy 0.9526086824095767, Test Seq Accuracy 0.21350000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14
Loss 9.00645821314791e-05, Test Accuracy 0.9550108568823856, Train Accuracy 1.0, Val Accuracy 0.9525434650804685, Test Seq Accuracy 0.21625, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13850000000000004
