Writing models at epoch 1
Loss 0.010429859809253527, Test Accuracy 0.9794456418441689, Train Accuracy 0.9986149050557589, Val Accuracy 0.9635217272717019, Test Seq Accuracy 0.586, Train Seq Accuracy 0.9693809523809522, Val Seq Accuracy 0.28974999999999995
Writing models at epoch 2
Loss 0.0011196151051832282, Test Accuracy 0.986641294411991, Train Accuracy 0.999908902766048, Val Accuracy 0.973163029940232, Test Seq Accuracy 0.7089999999999999, Train Seq Accuracy 0.9979047619047627, Val Seq Accuracy 0.5382499999999999
Loss 0.00046574073317258256, Test Accuracy 0.9881956432176673, Train Accuracy 0.9999989648042998, Val Accuracy 0.9714673791242683, Test Seq Accuracy 0.75075, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.50325
Writing models at epoch 4
Loss 0.0006742553137566732, Test Accuracy 0.9894021665272505, Train Accuracy 0.9999016563714661, Val Accuracy 0.9780217274375583, Test Seq Accuracy 0.7975, Train Seq Accuracy 0.9977380952380962, Val Seq Accuracy 0.5897499999999999
Loss 0.0012323653892330501, Test Accuracy 0.9899239065854446, Train Accuracy 0.999834368441169, Val Accuracy 0.9735652050246363, Test Seq Accuracy 0.7682499999999999, Train Seq Accuracy 0.9961904761904776, Val Seq Accuracy 0.5000000000000001
Loss 0.00011237072960838027, Test Accuracy 0.9890434706988542, Train Accuracy 1.0, Val Accuracy 0.9770978146273157, Test Seq Accuracy 0.75075, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5785
Writing models at epoch 7
Loss 2.740300007407432e-05, Test Accuracy 0.9886521665946297, Train Accuracy 0.9999937888257993, Val Accuracy 0.9805325982363328, Test Seq Accuracy 0.74175, Train Seq Accuracy 0.999857142857143, Val Seq Accuracy 0.6245
Loss 0.0019520377011402793, Test Accuracy 0.9922608639882958, Train Accuracy 0.9989968937252867, Val Accuracy 0.9756630294996759, Test Seq Accuracy 0.8220000000000001, Train Seq Accuracy 0.9776904761904766, Val Seq Accuracy 0.56825
Writing models at epoch 9
Loss 2.2461103862556428e-05, Test Accuracy 0.9907282529965691, Train Accuracy 1.0, Val Accuracy 0.9803804208403049, Test Seq Accuracy 0.7959999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.65575
Writing models at epoch 10
Loss 1.4986577140086371e-05, Test Accuracy 0.990206512938375, Train Accuracy 1.0, Val Accuracy 0.9806630314692207, Test Seq Accuracy 0.7997500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6635
Writing models at epoch 11
Loss 1.2256994681513827e-05, Test Accuracy 0.990293469377186, Train Accuracy 1.0, Val Accuracy 0.9817282503065856, Test Seq Accuracy 0.8009999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6697499999999998
Writing models at epoch 12
Loss 7.398025406038632e-06, Test Accuracy 0.990771730568098, Train Accuracy 1.0, Val Accuracy 0.9824021630960962, Test Seq Accuracy 0.8009999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6719999999999999
Loss 0.0008171750637500182, Test Accuracy 0.9893369491981423, Train Accuracy 0.9998850931538805, Val Accuracy 0.9791086835705716, Test Seq Accuracy 0.75475, Train Seq Accuracy 0.9973809523809537, Val Seq Accuracy 0.62075
Loss 4.672941387347553e-05, Test Accuracy 0.9927391244017559, Train Accuracy 0.9999989648042998, Val Accuracy 0.9812717269296232, Test Seq Accuracy 0.8330000000000002, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.6644999999999999
Loss 2.1822350707067095e-05, Test Accuracy 0.9913586887328522, Train Accuracy 1.0, Val Accuracy 0.9807608578516089, Test Seq Accuracy 0.8012499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.643
Loss 8.738351702366186e-06, Test Accuracy 0.9922608639882958, Train Accuracy 1.0, Val Accuracy 0.983163032842719, Test Seq Accuracy 0.8220000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6627500000000001
Loss 0.0073894877796587734, Test Accuracy 0.9925978166901547, Train Accuracy 0.9974948193715967, Val Accuracy 0.9785978133263795, Test Seq Accuracy 0.8425, Train Seq Accuracy 0.9439047619047611, Val Seq Accuracy 0.61475
Writing models at epoch 18
Loss 0.00011874134044932282, Test Accuracy 0.9909130355586176, Train Accuracy 0.9998002070200863, Val Accuracy 0.9884021638528161, Test Seq Accuracy 0.8047500000000001, Train Seq Accuracy 0.9954523809523822, Val Seq Accuracy 0.7757500000000002
Loss 3.25648706284878e-05, Test Accuracy 0.9905760803948278, Train Accuracy 0.9999803312816975, Val Accuracy 0.9799891198458879, Test Seq Accuracy 0.78325, Train Seq Accuracy 0.9995476190476194, Val Seq Accuracy 0.6307500000000001
