Writing models at epoch 1
Loss 0.06626574371172034, Test Accuracy 0.945326072236766, Train Accuracy 0.9867712019146353, Val Accuracy 0.9498478137928507, Test Seq Accuracy 0.11025, Train Seq Accuracy 0.7276666666666665, Val Seq Accuracy 0.14000000000000004
Loss 0.012755250153334244, Test Accuracy 0.9530217187560123, Train Accuracy 0.9980755667015139, Val Accuracy 0.9449456366507903, Test Seq Accuracy 0.19375, Train Seq Accuracy 0.9566904761904768, Val Seq Accuracy 0.05700000000000001
Loss 0.0066376678321672525, Test Accuracy 0.9504891118277674, Train Accuracy 0.9995559005633644, Val Accuracy 0.9477825929289279, Test Seq Accuracy 0.17350000000000002, Train Seq Accuracy 0.9898571428571449, Val Seq Accuracy 0.05850000000000001
Loss 0.0035938513667687125, Test Accuracy 0.9530978056399718, Train Accuracy 0.9998902691817432, Val Accuracy 0.9507608565299407, Test Seq Accuracy 0.18825000000000003, Train Seq Accuracy 0.9974761904761917, Val Seq Accuracy 0.07549999999999998
Loss 0.001569976463266041, Test Accuracy 0.9508586757856866, Train Accuracy 0.999976190474216, Val Accuracy 0.9497608541146568, Test Seq Accuracy 0.17975, Train Seq Accuracy 0.9994523809523812, Val Seq Accuracy 0.07099999999999998
Loss 0.0010222942446884902, Test Accuracy 0.9478260677793752, Train Accuracy 0.9999296066553697, Val Accuracy 0.9507608553637629, Test Seq Accuracy 0.16649999999999998, Train Seq Accuracy 0.998380952380953, Val Seq Accuracy 0.08425
Loss 0.0009923944168764613, Test Accuracy 0.957815197498902, Train Accuracy 0.9999875776515984, Val Accuracy 0.9509347691484119, Test Seq Accuracy 0.24974999999999997, Train Seq Accuracy 0.9997142857142859, Val Seq Accuracy 0.08324999999999999
Loss 0.00062232978803956, Test Accuracy 0.9586195457240809, Train Accuracy 0.9999896480429987, Val Accuracy 0.9500869433517042, Test Seq Accuracy 0.29025, Train Seq Accuracy 0.999761904761905, Val Seq Accuracy 0.07075
Loss 0.0006747031179459199, Test Accuracy 0.9534130260996196, Train Accuracy 0.9999368530499516, Val Accuracy 0.9482825971168021, Test Seq Accuracy 0.19649999999999998, Train Seq Accuracy 0.9985476190476196, Val Seq Accuracy 0.06675
Loss 0.00036107453153185224, Test Accuracy 0.9560325908920039, Train Accuracy 0.9999968944128996, Val Accuracy 0.9495434672936149, Test Seq Accuracy 0.22900000000000004, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.07150000000000001
Loss 0.00029337167253960735, Test Accuracy 0.9576086767341779, Train Accuracy 0.9999979296085998, Val Accuracy 0.9493260756782863, Test Seq Accuracy 0.24675000000000002, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.07300000000000002
Loss 0.00024034062643413958, Test Accuracy 0.9594347659660423, Train Accuracy 0.9999979296085998, Val Accuracy 0.9503478150004926, Test Seq Accuracy 0.28325000000000006, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.07749999999999999
Loss 0.00020012968098339826, Test Accuracy 0.9595869397339614, Train Accuracy 0.9999979296085998, Val Accuracy 0.9502934676149617, Test Seq Accuracy 0.28500000000000003, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.07524999999999998
Loss 0.0011344170602767365, Test Accuracy 0.9624565081751865, Train Accuracy 0.9996821945498449, Val Accuracy 0.9488152058228202, Test Seq Accuracy 0.302, Train Seq Accuracy 0.9927142857142874, Val Seq Accuracy 0.047250000000000014
Loss 0.00021882075816392899, Test Accuracy 0.96386955069459, Train Accuracy 1.0, Val Accuracy 0.9474565095227697, Test Seq Accuracy 0.31900000000000006, Train Seq Accuracy 1.0, Val Seq Accuracy 0.05800000000000001
Loss 0.0001647796724801478, Test Accuracy 0.9640108547780825, Train Accuracy 1.0, Val Accuracy 0.948369552778161, Test Seq Accuracy 0.32775000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.06799999999999999
Loss 0.0001336249988526106, Test Accuracy 0.9634347670752069, Train Accuracy 1.0, Val Accuracy 0.9490543346042218, Test Seq Accuracy 0.32449999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07275
Loss 0.00011139018866031066, Test Accuracy 0.9633043324169905, Train Accuracy 1.0, Val Accuracy 0.9492391170366951, Test Seq Accuracy 0.32399999999999995, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 9.43499009894288e-05, Test Accuracy 0.9632065064233283, Train Accuracy 1.0, Val Accuracy 0.9492391170366951, Test Seq Accuracy 0.32275, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 8.078399822925743e-05, Test Accuracy 0.9631195497253667, Train Accuracy 1.0, Val Accuracy 0.9492608561463978, Test Seq Accuracy 0.32099999999999995, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 6.972188534943953e-05, Test Accuracy 0.9629456367181695, Train Accuracy 1.0, Val Accuracy 0.9494456389675969, Test Seq Accuracy 0.32049999999999995, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 6.0550124465447404e-05, Test Accuracy 0.9636630278566609, Train Accuracy 1.0, Val Accuracy 0.9494456389675969, Test Seq Accuracy 0.3329999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 5.2829100952848144e-05, Test Accuracy 0.963239115347033, Train Accuracy 1.0, Val Accuracy 0.9494456389675969, Test Seq Accuracy 0.32599999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 4.627943322386431e-05, Test Accuracy 0.9629238982563434, Train Accuracy 1.0, Val Accuracy 0.9494456389675969, Test Seq Accuracy 0.321, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 4.0671304779370196e-05, Test Accuracy 0.9629238982563434, Train Accuracy 1.0, Val Accuracy 0.9494456389675969, Test Seq Accuracy 0.321, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07299999999999998
Loss 3.584177466109395e-05, Test Accuracy 0.9626521593850592, Train Accuracy 1.0, Val Accuracy 0.9493695520836374, Test Seq Accuracy 0.3167500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.07125
Loss 3.164229185684867e-05, Test Accuracy 0.9626521593850592, Train Accuracy 1.0, Val Accuracy 0.9492825956448264, Test Seq Accuracy 0.3167500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.069
