Writing models at epoch 1
Loss 0.016671784546064293, Test Accuracy 0.9437391170988912, Train Accuracy 0.9936221375228456, Val Accuracy 0.9399238997179529, Test Seq Accuracy 0.06524999999999999, Train Seq Accuracy 0.8675476190476192, Val Seq Accuracy 0.12225000000000001
Loss 0.0024267898305602694, Test Accuracy 0.9628260787414468, Train Accuracy 0.9994358176276797, Val Accuracy 0.9473586832699569, Test Seq Accuracy 0.22024999999999997, Train Seq Accuracy 0.9873095238095257, Val Seq Accuracy 0.06425
Loss 0.0003761503764468691, Test Accuracy 0.9627065127310546, Train Accuracy 0.9999378882333112, Val Accuracy 0.9510434652152269, Test Seq Accuracy 0.21774999999999997, Train Seq Accuracy 0.9985714285714293, Val Seq Accuracy 0.10950000000000001
Loss 0.00019627157598733902, Test Accuracy 0.9627934692994408, Train Accuracy 0.9999679089209554, Val Accuracy 0.9465652058953824, Test Seq Accuracy 0.2085, Train Seq Accuracy 0.9992619047619051, Val Seq Accuracy 0.07400000000000001
Loss 8.7028369307518e-05, Test Accuracy 0.9649891215821971, Train Accuracy 1.0, Val Accuracy 0.9489782490160155, Test Seq Accuracy 0.24250000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.0875
Loss 6.26485258259851e-05, Test Accuracy 0.9648260782594266, Train Accuracy 1.0, Val Accuracy 0.9489239015009092, Test Seq Accuracy 0.23825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.09125000000000001
Loss 4.765780075736668e-05, Test Accuracy 0.9648260782594266, Train Accuracy 1.0, Val Accuracy 0.9487391189388606, Test Seq Accuracy 0.23825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.08625000000000001
Loss 3.746841305299945e-05, Test Accuracy 0.9648260782594266, Train Accuracy 1.0, Val Accuracy 0.9487717277329901, Test Seq Accuracy 0.23825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.08625000000000001
Loss 3.0195816298541814e-05, Test Accuracy 0.9648260782594266, Train Accuracy 1.0, Val Accuracy 0.9492499886647515, Test Seq Accuracy 0.23825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.09475
Loss 2.4779985719562873e-05, Test Accuracy 0.9647934695948726, Train Accuracy 1.0, Val Accuracy 0.9497825972411944, Test Seq Accuracy 0.238, Train Seq Accuracy 1.0, Val Seq Accuracy 0.10325000000000002
Loss 2.062797505894433e-05, Test Accuracy 0.9644673821718797, Train Accuracy 1.0, Val Accuracy 0.9500869451657585, Test Seq Accuracy 0.23475000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.10925000000000003
Loss 1.736018811757474e-05, Test Accuracy 0.9644673816535784, Train Accuracy 1.0, Val Accuracy 0.9503586842961933, Test Seq Accuracy 0.23575000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11375000000000002
Loss 1.475044004821583e-05, Test Accuracy 0.9652825987857321, Train Accuracy 1.0, Val Accuracy 0.9505108585824137, Test Seq Accuracy 0.2485, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11575000000000002
Loss 1.2621465746475303e-05, Test Accuracy 0.9652825987857321, Train Accuracy 1.0, Val Accuracy 0.9504239020140275, Test Seq Accuracy 0.2485, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11425
Loss 1.0877276983355051e-05, Test Accuracy 0.9650434683198514, Train Accuracy 1.0, Val Accuracy 0.9501086844050366, Test Seq Accuracy 0.24474999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.10975000000000001
Loss 9.414216670531617e-06, Test Accuracy 0.9644673817831537, Train Accuracy 1.0, Val Accuracy 0.950130423385164, Test Seq Accuracy 0.23850000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1105
Loss 8.187707230124785e-06, Test Accuracy 0.9644673817831537, Train Accuracy 1.0, Val Accuracy 0.9501630320497181, Test Seq Accuracy 0.23850000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11125
Loss 7.150277151199787e-06, Test Accuracy 0.9644673817831537, Train Accuracy 1.0, Val Accuracy 0.9503586841666181, Test Seq Accuracy 0.23850000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1145
Loss 6.272481582329973e-06, Test Accuracy 0.9644673817831537, Train Accuracy 1.0, Val Accuracy 0.9504891188248344, Test Seq Accuracy 0.23850000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11674999999999999
Loss 5.517006249409979e-06, Test Accuracy 0.9644673817831537, Train Accuracy 1.0, Val Accuracy 0.9505434667286665, Test Seq Accuracy 0.23850000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11825000000000001
Loss 4.857312255215062e-06, Test Accuracy 0.9644673817831537, Train Accuracy 1.0, Val Accuracy 0.9505978145029234, Test Seq Accuracy 0.23850000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11950000000000002
Loss 4.281789702160851e-06, Test Accuracy 0.9644673817831537, Train Accuracy 1.0, Val Accuracy 0.9505978145029234, Test Seq Accuracy 0.23850000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11950000000000002
Loss 3.793758324995313e-06, Test Accuracy 0.9645543383515399, Train Accuracy 1.0, Val Accuracy 0.9505434667286665, Test Seq Accuracy 0.23975000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.11950000000000002
Loss 3.347604512743166e-06, Test Accuracy 0.9649565120106158, Train Accuracy 1.0, Val Accuracy 0.9506086840577748, Test Seq Accuracy 0.24674999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.12025000000000001
