Writing models at epoch 1
Loss 0.023465851078862728, Test Accuracy 0.9662717259448508, Train Accuracy 0.9922360070620511, Val Accuracy 0.9624891221523285, Test Seq Accuracy 0.27325, Train Seq Accuracy 0.8392380952380943, Val Seq Accuracy 0.276
Writing models at epoch 2
Loss 0.0018064773277096126, Test Accuracy 0.9839347744765489, Train Accuracy 0.9998923396348459, Val Accuracy 0.9766739000444827, Test Seq Accuracy 0.64225, Train Seq Accuracy 0.9975238095238106, Val Seq Accuracy 0.4942499999999999
Writing models at epoch 3
Loss 0.00015550116886911184, Test Accuracy 0.9881412977757661, Train Accuracy 0.9999979296085998, Val Accuracy 0.9767282491144926, Test Seq Accuracy 0.72725, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.5559999999999998
Loss 0.0001521431840956211, Test Accuracy 0.9869347770576892, Train Accuracy 0.9999968944128996, Val Accuracy 0.9780434675838636, Test Seq Accuracy 0.6995000000000001, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.53625
Writing models at epoch 5
Loss 0.0011602319453073585, Test Accuracy 0.9903369479853174, Train Accuracy 0.9999637681504955, Val Accuracy 0.9836630317180053, Test Seq Accuracy 0.77775, Train Seq Accuracy 0.999166666666667, Val Seq Accuracy 0.66625
Loss 0.0002001667921633824, Test Accuracy 0.9906195578367814, Train Accuracy 0.9999937888257993, Val Accuracy 0.9818804252406825, Test Seq Accuracy 0.7842499999999999, Train Seq Accuracy 0.9998571428571429, Val Seq Accuracy 0.62625
Loss 0.0016455379841120346, Test Accuracy 0.9894999926504882, Train Accuracy 0.9999989648042998, Val Accuracy 0.9771630309198214, Test Seq Accuracy 0.7585, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.5785000000000001
Loss 4.377572432808254e-05, Test Accuracy 0.9914239070985629, Train Accuracy 1.0, Val Accuracy 0.9813912903485091, Test Seq Accuracy 0.80275, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6395
Writing models at epoch 9
Loss 2.99752295098227e-05, Test Accuracy 0.9917282551527024, Train Accuracy 0.9999865424435578, Val Accuracy 0.9838804219080054, Test Seq Accuracy 0.8097500000000002, Train Seq Accuracy 0.9996904761904765, Val Seq Accuracy 0.6944999999999999
Loss 2.759518911657126e-05, Test Accuracy 0.9911086900078732, Train Accuracy 0.9999989648042998, Val Accuracy 0.9856521618107091, Test Seq Accuracy 0.7954999999999999, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.6925
Loss 1.9888878222959846e-05, Test Accuracy 0.9922608638587205, Train Accuracy 1.0, Val Accuracy 0.9840869442276333, Test Seq Accuracy 0.8220000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6645
Loss 1.491940549939223e-05, Test Accuracy 0.9922608638587205, Train Accuracy 1.0, Val Accuracy 0.9843478144510932, Test Seq Accuracy 0.8220000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6705
Loss 0.00016036179200138736, Test Accuracy 0.9919347760470018, Train Accuracy 0.9999886128472986, Val Accuracy 0.9809891208358433, Test Seq Accuracy 0.8145, Train Seq Accuracy 0.9997380952380953, Val Seq Accuracy 0.61725
Loss 0.0012973276493342025, Test Accuracy 0.9950108660304028, Train Accuracy 0.9997732914506031, Val Accuracy 0.9826521607844726, Test Seq Accuracy 0.8852500000000001, Train Seq Accuracy 0.9947857142857163, Val Seq Accuracy 0.6569999999999998
Writing models at epoch 15
Loss 8.016876603031289e-06, Test Accuracy 0.9938695605682291, Train Accuracy 1.0, Val Accuracy 0.9874130334543145, Test Seq Accuracy 0.8589999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.735
Writing models at epoch 16
Loss 7.14654553398166e-06, Test Accuracy 0.9952717357355615, Train Accuracy 1.0, Val Accuracy 0.9912065131508786, Test Seq Accuracy 0.89125, Train Seq Accuracy 1.0, Val Seq Accuracy 0.807
Loss 5.493578298584275e-06, Test Accuracy 0.9962499960609105, Train Accuracy 1.0, Val Accuracy 0.9868586821400601, Test Seq Accuracy 0.91375, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7252500000000001
