Writing models at epoch 1
Loss 0.322309742803159, Test Accuracy 0.8998695490152939, Train Accuracy 0.9256211011676314, Val Accuracy 0.8851956371379935, Test Seq Accuracy 0.06275, Train Seq Accuracy 0.11804761904761908, Val Seq Accuracy 0.03675000000000001
Writing models at epoch 2
Loss 0.009642819347588913, Test Accuracy 0.96813042215679, Train Accuracy 0.9985072444314542, Val Accuracy 0.954989119068436, Test Seq Accuracy 0.31350000000000006, Train Seq Accuracy 0.9660476190476197, Val Seq Accuracy 0.14400000000000004
Writing models at epoch 3
Loss 0.0022833896395952806, Test Accuracy 0.9666412911985232, Train Accuracy 0.9995962732450315, Val Accuracy 0.9595434665679932, Test Seq Accuracy 0.31199999999999994, Train Seq Accuracy 0.9907619047619062, Val Seq Accuracy 0.24075000000000008
Loss 0.0032335788659427476, Test Accuracy 0.9688804227372875, Train Accuracy 0.998391302130484, Val Accuracy 0.952630422944608, Test Seq Accuracy 0.42424999999999996, Train Seq Accuracy 0.9657380952380955, Val Seq Accuracy 0.14375000000000002
Loss 0.0017173504051954849, Test Accuracy 0.9672717244728751, Train Accuracy 0.999778467898043, Val Accuracy 0.9594673802023349, Test Seq Accuracy 0.3645, Train Seq Accuracy 0.9949047619047638, Val Seq Accuracy 0.22975000000000004
Loss 0.0003854313298411991, Test Accuracy 0.9693912892237954, Train Accuracy 1.0, Val Accuracy 0.9576086843791215, Test Seq Accuracy 0.399, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20900000000000002
Loss 0.0002837069535061069, Test Accuracy 0.9697825939758964, Train Accuracy 1.0, Val Accuracy 0.9572825976040052, Test Seq Accuracy 0.40225, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20574999999999996
Loss 0.00021892672647600588, Test Accuracy 0.9698152023812999, Train Accuracy 1.0, Val Accuracy 0.9571304237065108, Test Seq Accuracy 0.40099999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20574999999999996
Loss 0.0001741112817240798, Test Accuracy 0.9715217241774434, Train Accuracy 1.0, Val Accuracy 0.9571304237065108, Test Seq Accuracy 0.43775000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20574999999999996
Loss 0.00014145976013463476, Test Accuracy 0.9717173760351927, Train Accuracy 1.0, Val Accuracy 0.9571304237065108, Test Seq Accuracy 0.44225000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20574999999999996
Loss 0.00011681370518129805, Test Accuracy 0.9714456369047579, Train Accuracy 1.0, Val Accuracy 0.9571304237065108, Test Seq Accuracy 0.437, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20574999999999996
Loss 9.768319559162077e-05, Test Accuracy 0.9709130280691645, Train Accuracy 1.0, Val Accuracy 0.9569782498090164, Test Seq Accuracy 0.434, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20350000000000001
Loss 8.25129378506023e-05, Test Accuracy 0.9711304190366165, Train Accuracy 1.0, Val Accuracy 0.9567391192135604, Test Seq Accuracy 0.4407500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.20125
Loss 7.02816507090693e-05, Test Accuracy 0.9703043323496113, Train Accuracy 1.0, Val Accuracy 0.9565869450569153, Test Seq Accuracy 0.4274999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.19775000000000004
Loss 6.027324327632137e-05, Test Accuracy 0.9689456369565881, Train Accuracy 1.0, Val Accuracy 0.95615216260371, Test Seq Accuracy 0.3975, Train Seq Accuracy 1.0, Val Seq Accuracy 0.19075000000000003
Loss 5.1989969190048136e-05, Test Accuracy 0.9685217241878095, Train Accuracy 1.0, Val Accuracy 0.9554565101861954, Test Seq Accuracy 0.38275, Train Seq Accuracy 1.0, Val Seq Accuracy 0.177
Loss 4.505385826949192e-05, Test Accuracy 0.968445636915124, Train Accuracy 1.0, Val Accuracy 0.9551086836534998, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.175
Loss 3.921363816556075e-05, Test Accuracy 0.968445636915124, Train Accuracy 1.0, Val Accuracy 0.9549456402011539, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.172
Loss 3.425203992620759e-05, Test Accuracy 0.968445636915124, Train Accuracy 1.0, Val Accuracy 0.9548586836327677, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.172
Loss 3.0012128105306108e-05, Test Accuracy 0.9682391149842221, Train Accuracy 1.0, Val Accuracy 0.9544347706048385, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16274999999999998
Loss 2.638837727515594e-05, Test Accuracy 0.9689999862857487, Train Accuracy 1.0, Val Accuracy 0.9544347706048385, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16274999999999998
Loss 2.3250789482794378e-05, Test Accuracy 0.9690217253954514, Train Accuracy 1.0, Val Accuracy 0.9543912923854331, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16274999999999998
Loss 2.0542767901054543e-05, Test Accuracy 0.9690217253954514, Train Accuracy 1.0, Val Accuracy 0.9543369446111762, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16274999999999998
Loss 1.817848280315166e-05, Test Accuracy 0.9691195516482644, Train Accuracy 1.0, Val Accuracy 0.9540760751651681, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1585
Loss 1.6131194095815655e-05, Test Accuracy 0.9691195516482644, Train Accuracy 1.0, Val Accuracy 0.9537282490211985, Test Seq Accuracy 0.37825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1585
Loss 1.4329164633122476e-05, Test Accuracy 0.9686630300853564, Train Accuracy 1.0, Val Accuracy 0.9537282490211985, Test Seq Accuracy 0.36924999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1585
Loss 1.2737357199354017e-05, Test Accuracy 0.9683695518452188, Train Accuracy 1.0, Val Accuracy 0.9535543360140013, Test Seq Accuracy 0.36450000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15450000000000003
Loss 1.133566357843254e-05, Test Accuracy 0.9680869431599327, Train Accuracy 1.0, Val Accuracy 0.9535543360140013, Test Seq Accuracy 0.36450000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15450000000000003
Loss 1.0106667025905589e-05, Test Accuracy 0.9676630303911541, Train Accuracy 1.0, Val Accuracy 0.9532608579034391, Test Seq Accuracy 0.36049999999999993, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14775000000000002
Loss 9.016574831153063e-06, Test Accuracy 0.9672825957122057, Train Accuracy 1.0, Val Accuracy 0.9529347711283228, Test Seq Accuracy 0.3550000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14249999999999996
Loss 8.060828448556688e-06, Test Accuracy 0.9672391176223755, Train Accuracy 1.0, Val Accuracy 0.9529239015734714, Test Seq Accuracy 0.35525, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14324999999999996
Loss 7.197131154775295e-06, Test Accuracy 0.9671739002932673, Train Accuracy 1.0, Val Accuracy 0.9529239015734714, Test Seq Accuracy 0.35550000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14324999999999996
Loss 6.439789380554272e-06, Test Accuracy 0.9671630306088406, Train Accuracy 1.0, Val Accuracy 0.9529347707395969, Test Seq Accuracy 0.35550000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.144
Loss 5.7604003181357095e-06, Test Accuracy 0.9669673782327901, Train Accuracy 1.0, Val Accuracy 0.9529565098492996, Test Seq Accuracy 0.35550000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1445
Loss 5.163109681629778e-06, Test Accuracy 0.9669565086779387, Train Accuracy 1.0, Val Accuracy 0.9528912922610407, Test Seq Accuracy 0.35525, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14550000000000002
Loss 4.615576788479381e-06, Test Accuracy 0.9668695517208266, Train Accuracy 1.0, Val Accuracy 0.9527065095694168, Test Seq Accuracy 0.3550000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14625000000000002
Loss 4.177922876450516e-06, Test Accuracy 0.9665108561515808, Train Accuracy 1.0, Val Accuracy 0.9528152052475058, Test Seq Accuracy 0.35050000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14825000000000002
Loss 3.6575482859600172e-06, Test Accuracy 0.9663912907890652, Train Accuracy 1.0, Val Accuracy 0.9522717272457869, Test Seq Accuracy 0.35050000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13574999999999998
Loss 3.290798264535387e-06, Test Accuracy 0.9663260734599569, Train Accuracy 1.0, Val Accuracy 0.9523804227943006, Test Seq Accuracy 0.35050000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13825
Loss 2.9922568659379105e-06, Test Accuracy 0.9661521598048832, Train Accuracy 1.0, Val Accuracy 0.9523804227943006, Test Seq Accuracy 0.35000000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13825
Loss 2.6962028958065356e-06, Test Accuracy 0.9658369424550429, Train Accuracy 1.0, Val Accuracy 0.9524347705685574, Test Seq Accuracy 0.344, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1395
Loss 2.461516408442074e-06, Test Accuracy 0.9658043337904889, Train Accuracy 1.0, Val Accuracy 0.9524347705685574, Test Seq Accuracy 0.344, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1395
Loss 2.156755331468404e-06, Test Accuracy 0.9658369425846183, Train Accuracy 1.0, Val Accuracy 0.9526086834461792, Test Seq Accuracy 0.34275, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14275000000000002
Loss 1.8762505572775137e-06, Test Accuracy 0.9657608559598093, Train Accuracy 1.0, Val Accuracy 0.9527173788651176, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14575
Loss 1.6469542891212294e-06, Test Accuracy 0.9656412902085677, Train Accuracy 1.0, Val Accuracy 0.9526739006457121, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14625
Loss 1.452280190753062e-06, Test Accuracy 0.9655760724907336, Train Accuracy 1.0, Val Accuracy 0.9527065094398416, Test Seq Accuracy 0.34275, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1495
Loss 1.3475832731827446e-06, Test Accuracy 0.965619550710139, Train Accuracy 1.0, Val Accuracy 0.9527065094398416, Test Seq Accuracy 0.343, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1495
Loss 1.2306546009115309e-06, Test Accuracy 0.9656412898198418, Train Accuracy 1.0, Val Accuracy 0.9524565094191095, Test Seq Accuracy 0.34275, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1495
Loss 1.1147622780813633e-06, Test Accuracy 0.9655652029358822, Train Accuracy 1.0, Val Accuracy 0.9519999875970508, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.147
Loss 9.748210963469162e-07, Test Accuracy 0.9655652029358822, Train Accuracy 1.0, Val Accuracy 0.9519782484873481, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.147
Loss 8.821486477719863e-07, Test Accuracy 0.9655652029358822, Train Accuracy 1.0, Val Accuracy 0.9519347702679427, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.147
Loss 6.837430903586842e-07, Test Accuracy 0.9655652029358822, Train Accuracy 1.0, Val Accuracy 0.9516630312670832, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 5.889975474691829e-07, Test Accuracy 0.9657717244780581, Train Accuracy 1.0, Val Accuracy 0.951597813937975, Test Seq Accuracy 0.34199999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 5.392405949786062e-07, Test Accuracy 0.9657499853683554, Train Accuracy 1.0, Val Accuracy 0.9514565093361813, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 3.6177425499772653e-07, Test Accuracy 0.9656847680392473, Train Accuracy 1.0, Val Accuracy 0.9514565093361813, Test Seq Accuracy 0.34249999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 2.537602916202994e-07, Test Accuracy 0.9663152027389278, Train Accuracy 1.0, Val Accuracy 0.9514565093361813, Test Seq Accuracy 0.3625, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 2.0296677220081302e-07, Test Accuracy 0.9668260716873667, Train Accuracy 1.0, Val Accuracy 0.9514565093361813, Test Seq Accuracy 0.3782500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 1.6834422675184096e-07, Test Accuracy 0.9667499848034071, Train Accuracy 1.0, Val Accuracy 0.9514347702264786, Test Seq Accuracy 0.3782500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 1.4657558969464962e-07, Test Accuracy 0.9664238975099896, Train Accuracy 1.0, Val Accuracy 0.9513912920070731, Test Seq Accuracy 0.3782500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14350000000000002
Loss 1.287460335057087e-07, Test Accuracy 0.9664021584002868, Train Accuracy 1.0, Val Accuracy 0.950923901018889, Test Seq Accuracy 0.3782500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13924999999999998
Loss 1.1174573876854518e-07, Test Accuracy 0.966380419290584, Train Accuracy 1.0, Val Accuracy 0.9503586836483168, Test Seq Accuracy 0.3782500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.12824999999999998
Loss 9.163565427234457e-08, Test Accuracy 0.9662608541872191, Train Accuracy 1.0, Val Accuracy 0.9502934661896333, Test Seq Accuracy 0.37775, Train Seq Accuracy 1.0, Val Seq Accuracy 0.12674999999999997
