Loss 5.12011187232059e-05, Test Accuracy 0.9954565181680347, Train Accuracy 1.0, Val Accuracy 0.9810543360917464, Test Seq Accuracy 0.8954999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5949999999999999
Loss 3.9635117307467304e-05, Test Accuracy 0.9912391259618427, Train Accuracy 1.0, Val Accuracy 0.9810869439788487, Test Seq Accuracy 0.7985, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6147500000000001
Loss 3.170594066867362e-05, Test Accuracy 0.9940652141104573, Train Accuracy 1.0, Val Accuracy 0.9814130332158959, Test Seq Accuracy 0.8634999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6074999999999999
Loss 0.0003166242462137471, Test Accuracy 0.9816086835187414, Train Accuracy 0.9998198758617938, Val Accuracy 0.9726412931214208, Test Seq Accuracy 0.60075, Train Seq Accuracy 0.9958571428571443, Val Seq Accuracy 0.44375
Loss 4.6600572481427505e-05, Test Accuracy 0.991630431620971, Train Accuracy 0.9999989648042998, Val Accuracy 0.977369552332422, Test Seq Accuracy 0.8114999999999999, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.5337500000000002
Loss 0.00011587763488616632, Test Accuracy 0.9948478223189063, Train Accuracy 1.0, Val Accuracy 0.9781086834876433, Test Seq Accuracy 0.8815000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5455
Loss 4.241736251455934e-05, Test Accuracy 0.9930652126022007, Train Accuracy 1.0, Val Accuracy 0.9809130309716515, Test Seq Accuracy 0.8405000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6097499999999999
Loss 3.6249370010488704e-05, Test Accuracy 0.9902499929718349, Train Accuracy 0.9999855072601982, Val Accuracy 0.9826412970605104, Test Seq Accuracy 0.7757500000000002, Train Seq Accuracy 0.9996666666666668, Val Seq Accuracy 0.6250000000000001
Loss 3.7349201232680805e-05, Test Accuracy 0.9875760800164679, Train Accuracy 0.9999979296085998, Val Accuracy 0.9771412928467211, Test Seq Accuracy 0.7194999999999999, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.5115000000000001
Loss 2.528688080770814e-05, Test Accuracy 0.9901304308487021, Train Accuracy 0.9999979296085998, Val Accuracy 0.9803912924683612, Test Seq Accuracy 0.7729999999999999, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.5722499999999999
Loss 6.923654481120731e-05, Test Accuracy 0.9869999942572221, Train Accuracy 0.9999968944128996, Val Accuracy 0.9825978170270505, Test Seq Accuracy 0.7130000000000002, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.62125
Loss 3.63426617063258e-05, Test Accuracy 0.9870217325894729, Train Accuracy 1.0, Val Accuracy 0.9827608600906704, Test Seq Accuracy 0.7015, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6292500000000001
Loss 0.0018838977684145389, Test Accuracy 0.9895326011854669, Train Accuracy 0.9999699792753342, Val Accuracy 0.9777826002110606, Test Seq Accuracy 0.75925, Train Seq Accuracy 0.9993095238095242, Val Seq Accuracy 0.5605
