Writing models at epoch 1
Loss 0.04826152324676514, Test Accuracy 0.9484673763098924, Train Accuracy 0.9833322790098487, Val Accuracy 0.948934770019158, Test Seq Accuracy 0.11150000000000002, Train Seq Accuracy 0.6879999999999997, Val Seq Accuracy 0.15300000000000002
Writing models at epoch 2
Loss 0.014947077502375063, Test Accuracy 0.9691195555355238, Train Accuracy 0.9975672837246525, Val Accuracy 0.9688152042420014, Test Seq Accuracy 0.35225000000000006, Train Seq Accuracy 0.9465476190476196, Val Seq Accuracy 0.40449999999999997
Writing models at epoch 3
Loss 0.003967848160992498, Test Accuracy 0.9777717294900313, Train Accuracy 0.999567287790109, Val Accuracy 0.9736521618521732, Test Seq Accuracy 0.5365, Train Seq Accuracy 0.99009523809524, Val Seq Accuracy 0.5162500000000001
Writing models at epoch 4
Loss 0.004029873596585315, Test Accuracy 0.9820325979719992, Train Accuracy 0.9999026915548257, Val Accuracy 0.9735108559546264, Test Seq Accuracy 0.64825, Train Seq Accuracy 0.9977619047619056, Val Seq Accuracy 0.5525
Loss 0.002887983361016149, Test Accuracy 0.9845652068438737, Train Accuracy 0.999904761921545, Val Accuracy 0.9725978128288103, Test Seq Accuracy 0.6847500000000002, Train Seq Accuracy 0.9978095238095248, Val Seq Accuracy 0.4685
Writing models at epoch 6
Loss 0.0004910970835582069, Test Accuracy 0.9875217310760332, Train Accuracy 0.9999710145203964, Val Accuracy 0.9781412883945133, Test Seq Accuracy 0.7232500000000001, Train Seq Accuracy 0.9993333333333336, Val Seq Accuracy 0.6105
Loss 0.0010723599597163823, Test Accuracy 0.9838478186856146, Train Accuracy 0.9999316770591103, Val Accuracy 0.9716195536696393, Test Seq Accuracy 0.6340000000000001, Train Seq Accuracy 0.9984285714285723, Val Seq Accuracy 0.493
Loss 0.0003740697208306064, Test Accuracy 0.9874673838200776, Train Accuracy 1.0, Val Accuracy 0.9739347697600075, Test Seq Accuracy 0.71225, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5412500000000001
Writing models at epoch 9
Loss 0.000237251166254282, Test Accuracy 0.9800108596034672, Train Accuracy 1.0, Val Accuracy 0.9801847696304321, Test Seq Accuracy 0.5497500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.64575
Loss 0.003026634130788886, Test Accuracy 0.9845543370298717, Train Accuracy 0.9999834368564574, Val Accuracy 0.9799891191980113, Test Seq Accuracy 0.65875, Train Seq Accuracy 0.9996190476190479, Val Seq Accuracy 0.6307499999999999
Loss 0.0007553547620773315, Test Accuracy 0.9871630325265552, Train Accuracy 0.9999917184343989, Val Accuracy 0.979608683741611, Test Seq Accuracy 0.7092499999999999, Train Seq Accuracy 0.9998095238095238, Val Seq Accuracy 0.63125
Loss 0.002008430497801822, Test Accuracy 0.9887391225151394, Train Accuracy 0.9997443064893008, Val Accuracy 0.9793152047240216, Test Seq Accuracy 0.7450000000000001, Train Seq Accuracy 0.9946428571428586, Val Seq Accuracy 0.626
Writing models at epoch 13
Loss 0.0001621182157617548, Test Accuracy 0.9839891192705735, Train Accuracy 1.0, Val Accuracy 0.9830869453108829, Test Seq Accuracy 0.6765, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6942500000000001
Loss 0.0001459336211985868, Test Accuracy 0.9881304271843122, Train Accuracy 0.9999948240214993, Val Accuracy 0.9795217266549234, Test Seq Accuracy 0.727, Train Seq Accuracy 0.9998809523809525, Val Seq Accuracy 0.6650000000000001
Writing models at epoch 15
Loss 7.756066549083461e-05, Test Accuracy 0.9880543399116267, Train Accuracy 1.0, Val Accuracy 0.9821738992048347, Test Seq Accuracy 0.72525, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7052499999999999
Loss 5.878106205035811e-05, Test Accuracy 0.9856195567742638, Train Accuracy 1.0, Val Accuracy 0.9817608559909075, Test Seq Accuracy 0.66925, Train Seq Accuracy 1.0, Val Seq Accuracy 0.69225
Writing models at epoch 17
Loss 0.0001520370538144008, Test Accuracy 0.9891195586194163, Train Accuracy 0.9999492753736721, Val Accuracy 0.9834782456574233, Test Seq Accuracy 0.7497499999999999, Train Seq Accuracy 0.9988333333333339, Val Seq Accuracy 0.75675
Loss 0.00014638349049441192, Test Accuracy 0.9870543398286985, Train Accuracy 0.9999886128472986, Val Accuracy 0.9803478107504223, Test Seq Accuracy 0.7330000000000001, Train Seq Accuracy 0.9997380952380953, Val Seq Accuracy 0.7182499999999998
Loss 4.1382308826660335e-05, Test Accuracy 0.9883152105238127, Train Accuracy 1.0, Val Accuracy 0.98256520162458, Test Seq Accuracy 0.73125, Train Seq Accuracy 1.0, Val Seq Accuracy 0.73575
Loss 3.817796443953462e-05, Test Accuracy 0.990054340854935, Train Accuracy 1.0, Val Accuracy 0.9835652031328367, Test Seq Accuracy 0.77125, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7417500000000001
Writing models at epoch 21
Loss 4.163700277390687e-05, Test Accuracy 0.9846304243025572, Train Accuracy 1.0, Val Accuracy 0.9837173783260843, Test Seq Accuracy 0.6764999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7665
Loss 7.979766182277514e-05, Test Accuracy 0.9874347763217014, Train Accuracy 1.0, Val Accuracy 0.979119550663492, Test Seq Accuracy 0.7115, Train Seq Accuracy 1.0, Val Seq Accuracy 0.70525
Loss 0.00012684283454133117, Test Accuracy 0.9882499937130057, Train Accuracy 0.9999989648042998, Val Accuracy 0.9758586834306302, Test Seq Accuracy 0.7472500000000002, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.6385
Loss 0.0001044462070516918, Test Accuracy 0.9912934715333193, Train Accuracy 0.9999937888257993, Val Accuracy 0.9757282464400582, Test Seq Accuracy 0.7997500000000001, Train Seq Accuracy 0.999857142857143, Val Seq Accuracy 0.6312500000000001
