Writing models at epoch 1
Loss 0.07319938099902609, Test Accuracy 0.953869552327239, Train Accuracy 0.9775051587857074, Val Accuracy 0.9417934653551682, Test Seq Accuracy 0.11350000000000002, Train Seq Accuracy 0.5763333333333333, Val Seq Accuracy 0.04950000000000001
Loss 0.010105106493701105, Test Accuracy 0.9628804206848145, Train Accuracy 0.9990817799454643, Val Accuracy 0.936771727256153, Test Seq Accuracy 0.20825, Train Seq Accuracy 0.9790000000000002, Val Seq Accuracy 0.00525
Loss 0.006100267819736315, Test Accuracy 0.9682391195193581, Train Accuracy 0.9995672878024494, Val Accuracy 0.9409021600433017, Test Seq Accuracy 0.32049999999999995, Train Seq Accuracy 0.9900476190476208, Val Seq Accuracy 0.02475000000000001
Loss 0.0008411436625148939, Test Accuracy 0.9683260766060456, Train Accuracy 0.9999989648042998, Val Accuracy 0.9404130312411682, Test Seq Accuracy 0.30724999999999997, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.014750000000000004
Loss 0.0005312341710795527, Test Accuracy 0.9697391191254492, Train Accuracy 1.0, Val Accuracy 0.9388260748075402, Test Seq Accuracy 0.3355, Train Seq Accuracy 1.0, Val Seq Accuracy 0.010000000000000002
Loss 0.000378321775275728, Test Accuracy 0.9705543363871781, Train Accuracy 1.0, Val Accuracy 0.9392391181510428, Test Seq Accuracy 0.34125, Train Seq Accuracy 1.0, Val Seq Accuracy 0.006749999999999999
Loss 0.00028361655447794044, Test Accuracy 0.9711739011432814, Train Accuracy 1.0, Val Accuracy 0.939097813549249, Test Seq Accuracy 0.359, Train Seq Accuracy 1.0, Val Seq Accuracy 0.0037500000000000007
Loss 0.00021978212601464728, Test Accuracy 0.9712391186019649, Train Accuracy 1.0, Val Accuracy 0.9392825963704482, Test Seq Accuracy 0.359, Train Seq Accuracy 1.0, Val Seq Accuracy 0.0042499999999999994
Loss 0.0001744979223155457, Test Accuracy 0.9714565100877182, Train Accuracy 1.0, Val Accuracy 0.9392934657957243, Test Seq Accuracy 0.3652500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.0015
Loss 0.00014120000212088874, Test Accuracy 0.9714565100877182, Train Accuracy 1.0, Val Accuracy 0.9397608571726342, Test Seq Accuracy 0.3652500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.008000000000000002
Loss 0.00011599146882477014, Test Accuracy 0.9714565100877182, Train Accuracy 1.0, Val Accuracy 0.9404456400352975, Test Seq Accuracy 0.3652500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.017750000000000005
Loss 9.644507309016974e-05, Test Accuracy 0.9714565100877182, Train Accuracy 1.0, Val Accuracy 0.9404891183842783, Test Seq Accuracy 0.3652500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.017750000000000005
Loss 8.105278602274863e-05, Test Accuracy 0.9716630318890447, Train Accuracy 1.0, Val Accuracy 0.9406739012054776, Test Seq Accuracy 0.37, Train Seq Accuracy 1.0, Val Seq Accuracy 0.017750000000000005
Loss 6.873649038860331e-05, Test Accuracy 0.9716630318890447, Train Accuracy 1.0, Val Accuracy 0.9412608585927797, Test Seq Accuracy 0.37, Train Seq Accuracy 1.0, Val Seq Accuracy 0.026500000000000003
Loss 5.8781578327002734e-05, Test Accuracy 0.9714565100877182, Train Accuracy 1.0, Val Accuracy 0.9416195546803268, Test Seq Accuracy 0.3652500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.027500000000000004
Loss 5.0603827137662016e-05, Test Accuracy 0.9714565100877182, Train Accuracy 1.0, Val Accuracy 0.9420108591732772, Test Seq Accuracy 0.3652500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.028750000000000008
