Writing models at epoch 1
Loss 0.07524195961330248, Test Accuracy 0.9458695525708406, Train Accuracy 0.9720683039098547, Val Accuracy 0.953836945347164, Test Seq Accuracy 0.07075000000000001, Train Seq Accuracy 0.5059047619047621, Val Seq Accuracy 0.22200000000000003
Writing models at epoch 2
Loss 0.034721745097118874, Test Accuracy 0.95673911701078, Train Accuracy 0.9877846611829525, Val Accuracy 0.9560217287229456, Test Seq Accuracy 0.225, Train Seq Accuracy 0.7672142857142858, Val Seq Accuracy 0.24124999999999996
Writing models at epoch 3
Loss 0.011686269355856854, Test Accuracy 0.9709999867107557, Train Accuracy 0.9981469952665254, Val Accuracy 0.9754673821770626, Test Seq Accuracy 0.40875000000000006, Train Seq Accuracy 0.9581666666666667, Val Seq Accuracy 0.49975
Loss 0.006940844914187555, Test Accuracy 0.9801304245772569, Train Accuracy 0.999437887945037, Val Accuracy 0.9724239008582156, Test Seq Accuracy 0.5885, Train Seq Accuracy 0.9870952380952399, Val Seq Accuracy 0.48425
Writing models at epoch 5
Loss 0.0053412755546362505, Test Accuracy 0.9858478167782659, Train Accuracy 0.9997318840791967, Val Accuracy 0.9814999908208847, Test Seq Accuracy 0.704, Train Seq Accuracy 0.9938571428571447, Val Seq Accuracy 0.61875
Writing models at epoch 6
Loss 0.0026717380337093186, Test Accuracy 0.9871521646561829, Train Accuracy 0.9998643893015804, Val Accuracy 0.9815108570067779, Test Seq Accuracy 0.73625, Train Seq Accuracy 0.9968809523809538, Val Seq Accuracy 0.6202500000000001
Writing models at epoch 7
Loss 0.000892177710066671, Test Accuracy 0.9866956443890281, Train Accuracy 0.9998716356591408, Val Accuracy 0.9862173796995827, Test Seq Accuracy 0.694, Train Seq Accuracy 0.9970952380952394, Val Seq Accuracy 0.7177500000000001
Loss 0.0006322765155978825, Test Accuracy 0.9852173829856126, Train Accuracy 0.9999896480429987, Val Accuracy 0.9811086836068527, Test Seq Accuracy 0.6707500000000001, Train Seq Accuracy 0.9997619047619049, Val Seq Accuracy 0.60475
Loss 0.000602715000834154, Test Accuracy 0.9844999941794769, Train Accuracy 0.9999503105940533, Val Accuracy 0.9810108572244645, Test Seq Accuracy 0.6595000000000001, Train Seq Accuracy 0.9988571428571433, Val Seq Accuracy 0.6214999999999999
Loss 0.0027467692675797835, Test Accuracy 0.9859999919715134, Train Accuracy 0.9999420290161117, Val Accuracy 0.9866739054089008, Test Seq Accuracy 0.69525, Train Seq Accuracy 0.9986666666666674, Val Seq Accuracy 0.7162499999999999
Loss 0.0005488977565065674, Test Accuracy 0.9874021668796954, Train Accuracy 0.9999906832386988, Val Accuracy 0.9801304203012715, Test Seq Accuracy 0.71025, Train Seq Accuracy 0.9997857142857144, Val Seq Accuracy 0.607
Writing models at epoch 12
Loss 0.0004716539836448172, Test Accuracy 0.9821847749793011, Train Accuracy 0.9999699792876747, Val Accuracy 0.9865434650493705, Test Seq Accuracy 0.6137499999999999, Train Seq Accuracy 0.9993095238095242, Val Seq Accuracy 0.74075
Loss 0.00020377811692331147, Test Accuracy 0.9873478194941645, Train Accuracy 0.9999865424558984, Val Accuracy 0.9807608551305274, Test Seq Accuracy 0.71625, Train Seq Accuracy 0.9996904761904764, Val Seq Accuracy 0.6257500000000001
Loss 0.0010062377575946891, Test Accuracy 0.9840543408756671, Train Accuracy 0.9999782608902973, Val Accuracy 0.9810869426830955, Test Seq Accuracy 0.644, Train Seq Accuracy 0.9995000000000002, Val Seq Accuracy 0.62125
Loss 0.0001355414784958829, Test Accuracy 0.9887065150167631, Train Accuracy 1.0, Val Accuracy 0.9788586808287579, Test Seq Accuracy 0.74525, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5754999999999999
Loss 0.0005984603548827379, Test Accuracy 0.9858695578315984, Train Accuracy 0.9999927536300991, Val Accuracy 0.9772173801194066, Test Seq Accuracy 0.6917500000000002, Train Seq Accuracy 0.9998333333333334, Val Seq Accuracy 0.5322499999999999
Loss 0.00011943961979578371, Test Accuracy 0.9801412955574368, Train Accuracy 0.9999989648042998, Val Accuracy 0.9822934652152269, Test Seq Accuracy 0.58325, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.6644999999999999
Loss 0.0025739716770856276, Test Accuracy 0.9854999921892, Train Accuracy 0.9999989648042998, Val Accuracy 0.9840869474670161, Test Seq Accuracy 0.69625, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.6845000000000001
Loss 0.00016351090744137764, Test Accuracy 0.9889130373363909, Train Accuracy 0.9999958592171995, Val Accuracy 0.9835325999104458, Test Seq Accuracy 0.7815000000000001, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.7010000000000001
Loss 0.0005200846201699713, Test Accuracy 0.9845869446578233, Train Accuracy 0.9999958592171995, Val Accuracy 0.9771739016408506, Test Seq Accuracy 0.69175, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.58325
Writing models at epoch 21
Loss 6.515533238163461e-05, Test Accuracy 0.9854130366574163, Train Accuracy 1.0, Val Accuracy 0.9886847725381022, Test Seq Accuracy 0.6644999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.764
Loss 0.00010336783674100171, Test Accuracy 0.9878152085387188, Train Accuracy 0.9999772256822567, Val Accuracy 0.9880652075228484, Test Seq Accuracy 0.7617500000000001, Train Seq Accuracy 0.9994761904761906, Val Seq Accuracy 0.7467499999999999
Loss 0.00045319444135479307, Test Accuracy 0.9914130387098893, Train Accuracy 1.0, Val Accuracy 0.9869021639875744, Test Seq Accuracy 0.8139999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7369999999999999
Loss 0.00011800484650808832, Test Accuracy 0.9871739057095155, Train Accuracy 1.0, Val Accuracy 0.9842608591784602, Test Seq Accuracy 0.74725, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6704999999999999
Writing models at epoch 25
Loss 7.999854911442684e-05, Test Accuracy 0.9840978197429491, Train Accuracy 0.9999565217805946, Val Accuracy 0.9879782490108324, Test Seq Accuracy 0.69, Train Seq Accuracy 0.9990000000000006, Val Seq Accuracy 0.7702500000000001
Loss 3.8997399236035086e-05, Test Accuracy 0.9837065158978753, Train Accuracy 0.9999979296085998, Val Accuracy 0.9868695537681165, Test Seq Accuracy 0.6585000000000001, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.7305
Writing models at epoch 27
Loss 0.0002655429846566656, Test Accuracy 0.9925108640090279, Train Accuracy 1.0, Val Accuracy 0.9904347750155822, Test Seq Accuracy 0.83675, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8039999999999999
Loss 0.00011700908046053803, Test Accuracy 0.9818369462438251, Train Accuracy 0.9999192546736874, Val Accuracy 0.9819673814203428, Test Seq Accuracy 0.6545, Train Seq Accuracy 0.9981428571428579, Val Seq Accuracy 0.6565
Loss 2.9015228273751944e-05, Test Accuracy 0.9877173868210419, Train Accuracy 1.0, Val Accuracy 0.9833260748697363, Test Seq Accuracy 0.7444999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6785
Loss 1.9338961346479863e-05, Test Accuracy 0.9882065156231756, Train Accuracy 1.0, Val Accuracy 0.9864456403514613, Test Seq Accuracy 0.745, Train Seq Accuracy 1.0, Val Seq Accuracy 0.732
Loss 8.623818259524262e-05, Test Accuracy 0.9905108629361443, Train Accuracy 0.9999492753860126, Val Accuracy 0.9833695550327716, Test Seq Accuracy 0.8059999999999998, Train Seq Accuracy 0.9988333333333339, Val Seq Accuracy 0.69575
Loss 0.0001044314881057843, Test Accuracy 0.9816630367351615, Train Accuracy 1.0, Val Accuracy 0.9841195565202961, Test Seq Accuracy 0.6112500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.723
