Writing models at epoch 1
Loss 3.206025323142176e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9537499877421752, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14975
Loss 2.858224426112745e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9537499877421752, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14975
Loss 2.5515768515027087e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9537499877421752, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14975
Loss 2.2784315819001716e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9537499877421752, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14975
Loss 2.035617691707676e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9537499877421752, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14975
Loss 1.819693463166123e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 1.6271551747037016e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 1.4566131816853e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 1.303672805711951e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 1.1679816373583416e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 1.0454135759652633e-05, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 9.39659683195793e-06, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 8.423848118147124e-06, Test Accuracy 0.9585543353920397, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 7.518271045030459e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9529565102380255, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 6.7893314458753755e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9528043362109557, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725000000000002
Loss 6.077807325788814e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9527717275464016, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14675
Loss 5.46559053675636e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9528043363405311, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.147
Loss 4.844250962259653e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9531956404447556, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15125
Loss 4.47169535935087e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9534891192031943, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1515
Loss 3.869844595496745e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9535217278677485, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15175
Loss 3.590376645265876e-06, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9537608582040538, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15375
Loss 3.2225902744001993e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539456408956777, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.158
Loss 2.8067050785150216e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539456408956777, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.158
Loss 2.4934436267990945e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539456408956777, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.158
Loss 2.335050932901061e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539673800053804, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15850000000000003
Loss 2.1530238724232693e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9540108583543612, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15950000000000003
Loss 1.7655413261230064e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9540217279092126, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15975
Loss 1.5105372016399128e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539891191150831, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16025000000000003
Loss 1.4135111996438354e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539891191150831, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16025000000000003
Loss 1.2609232172785003e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539891189855078, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16050000000000003
Loss 1.1234697803561373e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539999885403592, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16075
Loss 1.0440660686151164e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538586843272914, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16000000000000003
Loss 1.0100655186840373e-06, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538586843272914, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16000000000000003
Loss 9.812479813421227e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538586843272914, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16000000000000003
Loss 7.907204670355776e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538586843272914, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16000000000000003
Loss 4.851299704371385e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538586843272914, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16000000000000003
Loss 3.7234764496805955e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9540108580952106, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.161
Loss 3.2176141125408164e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.954065206128618, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.161
Loss 2.9398044084107666e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9540760756834693, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.161
Loss 2.7677284062678076e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9540760756834693, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.161
Loss 1.5258789339302736e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9540760756834693, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.161
Loss 1.1755071721816658e-07, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9539456407661023, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16025000000000003
Loss 9.744063272196597e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538695538821428, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16025000000000003
Loss 8.811121401579483e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538695538821428, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16025000000000003
Loss 8.375748265003179e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538695538821428, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.16025000000000003
Loss 7.587930114190701e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9538260757923126, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15575
Loss 6.323275259922451e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.953499988887621, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14924999999999997
Loss 5.28667274208957e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9533804236546807, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14750000000000002
Loss 4.664711824538561e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9529673801816028, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14575
Loss 3.897625704311118e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9526739018118899, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13949999999999999
Loss 3.2549320147391765e-08, Test Accuracy 0.9584347701590994, Train Accuracy 1.0, Val Accuracy 0.9523478147776231, Test Seq Accuracy 0.09075000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.136
Loss 2.943951308818372e-08, Test Accuracy 0.9584565092688021, Train Accuracy 1.0, Val Accuracy 0.9523478147776231, Test Seq Accuracy 0.09125000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.136
Loss 2.6537026334826016e-08, Test Accuracy 0.958532596282337, Train Accuracy 1.0, Val Accuracy 0.9523478147776231, Test Seq Accuracy 0.09300000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.136
Loss 2.156133405151195e-08, Test Accuracy 0.958532596282337, Train Accuracy 1.0, Val Accuracy 0.9523478147776231, Test Seq Accuracy 0.09300000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.136
Loss 1.6170998685044215e-08, Test Accuracy 0.958532596282337, Train Accuracy 1.0, Val Accuracy 0.9525543361902237, Test Seq Accuracy 0.09300000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14325000000000002
Loss 1.3061192861562671e-08, Test Accuracy 0.958532596282337, Train Accuracy 1.0, Val Accuracy 0.9527608577323996, Test Seq Accuracy 0.09300000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14450000000000002
Loss 1.0780665790029478e-08, Test Accuracy 0.958532596282337, Train Accuracy 1.0, Val Accuracy 0.952913031629894, Test Seq Accuracy 0.09300000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14550000000000002
Loss 9.951385184491379e-09, Test Accuracy 0.958532596282337, Train Accuracy 1.0, Val Accuracy 0.952913031629894, Test Seq Accuracy 0.09300000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14550000000000002
Loss 8.08549810679561e-09, Test Accuracy 0.958532596282337, Train Accuracy 1.0, Val Accuracy 0.952913031629894, Test Seq Accuracy 0.09300000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14550000000000002
Loss 8.707460260073118e-09, Test Accuracy 0.9586195528507233, Train Accuracy 1.0, Val Accuracy 0.9527391186226969, Test Seq Accuracy 0.095, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14450000000000002
Loss 9.536742719200962e-09, Test Accuracy 0.9589999879183977, Train Accuracy 1.0, Val Accuracy 0.9524347710868587, Test Seq Accuracy 0.09625000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14325000000000002
Loss 8.914781183786703e-09, Test Accuracy 0.959032596712527, Train Accuracy 1.0, Val Accuracy 0.952326075538345, Test Seq Accuracy 0.09625000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14075
Loss 7.256216883394265e-09, Test Accuracy 0.959032596712527, Train Accuracy 1.0, Val Accuracy 0.9524673797514127, Test Seq Accuracy 0.09625000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1405
Loss 5.183012589164402e-09, Test Accuracy 0.959032596712527, Train Accuracy 1.0, Val Accuracy 0.9523152059834936, Test Seq Accuracy 0.09625000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1405
Loss 4.353730438968183e-09, Test Accuracy 0.9590978141712105, Train Accuracy 1.0, Val Accuracy 0.95264129275861, Test Seq Accuracy 0.0975, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14275
Loss 2.695166138575745e-09, Test Accuracy 0.9594021626140761, Train Accuracy 1.0, Val Accuracy 0.95264129275861, Test Seq Accuracy 0.1015, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14275
Loss 2.073204757627299e-09, Test Accuracy 0.9593152059161145, Train Accuracy 1.0, Val Accuracy 0.9526195536489072, Test Seq Accuracy 0.10225000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14225
Loss 1.4512433766788529e-09, Test Accuracy 0.9594347714082054, Train Accuracy 1.0, Val Accuracy 0.9524999886751175, Test Seq Accuracy 0.10350000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13949999999999999
Loss 1.4512433766788529e-09, Test Accuracy 0.9593695536903714, Train Accuracy 1.0, Val Accuracy 0.9525543364493744, Test Seq Accuracy 0.10350000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14075
Loss 1.6585638369950016e-09, Test Accuracy 0.9593804232452227, Train Accuracy 1.0, Val Accuracy 0.9523043361694916, Test Seq Accuracy 0.10225, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13499999999999998
Loss 1.8658842973111505e-09, Test Accuracy 0.9591195534104886, Train Accuracy 1.0, Val Accuracy 0.9523043361694916, Test Seq Accuracy 0.10225, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13499999999999998
Loss 1.6585638369950016e-09, Test Accuracy 0.9590652056362318, Train Accuracy 1.0, Val Accuracy 0.9523043361694916, Test Seq Accuracy 0.10100000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.13499999999999998
