Writing models at epoch 1
Loss 0.02007729851681253, Test Accuracy 0.963815206159716, Train Accuracy 0.9923654087705395, Val Accuracy 0.9628912974958834, Test Seq Accuracy 0.21275, Train Seq Accuracy 0.8279285714285708, Val Seq Accuracy 0.25550000000000006
Writing models at epoch 2
Loss 0.0004289640599618787, Test Accuracy 0.979923902646355, Train Accuracy 0.9999855072601982, Val Accuracy 0.9611412928156231, Test Seq Accuracy 0.5382500000000001, Train Seq Accuracy 0.9996666666666668, Val Seq Accuracy 0.25825000000000004
Writing models at epoch 3
Loss 0.0010794724297264347, Test Accuracy 0.9708152029825293, Train Accuracy 0.9992877842970269, Val Accuracy 0.9638152059005655, Test Seq Accuracy 0.37324999999999997, Train Seq Accuracy 0.9837142857142865, Val Seq Accuracy 0.28325
Writing models at epoch 4
Loss 0.00022367033702523813, Test Accuracy 0.9772499902092893, Train Accuracy 0.9999896480429987, Val Accuracy 0.9736521639253782, Test Seq Accuracy 0.4952500000000001, Train Seq Accuracy 0.9997619047619049, Val Seq Accuracy 0.4982500000000001
Writing models at epoch 5
Loss 6.814582941486783e-05, Test Accuracy 0.9786847718383955, Train Accuracy 1.0, Val Accuracy 0.9743152074191881, Test Seq Accuracy 0.5222499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5110000000000001
Writing models at epoch 6
Loss 4.482414047031299e-05, Test Accuracy 0.9791739018067069, Train Accuracy 1.0, Val Accuracy 0.9748478162547817, Test Seq Accuracy 0.53225, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5197499999999999
Loss 3.270916741989229e-05, Test Accuracy 0.9793804242559101, Train Accuracy 1.0, Val Accuracy 0.9746195553437523, Test Seq Accuracy 0.5369999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51675
Loss 2.512413471856195e-05, Test Accuracy 0.9793804242559101, Train Accuracy 1.0, Val Accuracy 0.9746195553437523, Test Seq Accuracy 0.5369999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51675
Loss 1.9934696509786274e-05, Test Accuracy 0.9795869464459627, Train Accuracy 1.0, Val Accuracy 0.9745652071807696, Test Seq Accuracy 0.54175, Train Seq Accuracy 1.0, Val Seq Accuracy 0.514
Loss 1.6177842474502064e-05, Test Accuracy 0.9795869464459627, Train Accuracy 1.0, Val Accuracy 0.9745652071807696, Test Seq Accuracy 0.54175, Train Seq Accuracy 1.0, Val Seq Accuracy 0.514
Loss 1.339622110168895e-05, Test Accuracy 0.9798260774301446, Train Accuracy 1.0, Val Accuracy 0.9748043380353761, Test Seq Accuracy 0.54725, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51875
Writing models at epoch 12
Loss 1.1227856663501132e-05, Test Accuracy 0.9798260774301446, Train Accuracy 1.0, Val Accuracy 0.9751195555147918, Test Seq Accuracy 0.54725, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5247500000000002
Loss 9.527205965360222e-06, Test Accuracy 0.9802282509596452, Train Accuracy 1.0, Val Accuracy 0.9751195555147918, Test Seq Accuracy 0.5565, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5247500000000002
Loss 8.130280311097918e-06, Test Accuracy 0.9802282509596452, Train Accuracy 1.0, Val Accuracy 0.9751195555147918, Test Seq Accuracy 0.5565, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5247500000000002
Loss 6.9856646207525675e-06, Test Accuracy 0.9802282509596452, Train Accuracy 1.0, Val Accuracy 0.9751195555147918, Test Seq Accuracy 0.5565, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5247500000000002
Loss 6.0483688012818275e-06, Test Accuracy 0.9802282509596452, Train Accuracy 1.0, Val Accuracy 0.9751195555147918, Test Seq Accuracy 0.5565, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5247500000000002
