Writing models at epoch 1
Loss 0.04488815950310748, Test Accuracy 0.9610217230475467, Train Accuracy 0.9813736888932886, Val Accuracy 0.9625108612620312, Test Seq Accuracy 0.23674999999999993, Train Seq Accuracy 0.6587857142857144, Val Seq Accuracy 0.33949999999999997
Writing models at epoch 2
Loss 0.005186912158261175, Test Accuracy 0.9838912921107333, Train Accuracy 0.9991097302046869, Val Accuracy 0.9749782510425733, Test Seq Accuracy 0.6427500000000002, Train Seq Accuracy 0.9800952380952387, Val Seq Accuracy 0.48149999999999993
Writing models at epoch 3
Loss 0.0014802716348482215, Test Accuracy 0.9882608618425286, Train Accuracy 0.9999637681381549, Val Accuracy 0.9875652079996855, Test Seq Accuracy 0.7335, Train Seq Accuracy 0.9991666666666669, Val Seq Accuracy 0.7372500000000001
Writing models at epoch 4
Loss 0.00023821842573259187, Test Accuracy 0.9858152057813562, Train Accuracy 0.9999968944128996, Val Accuracy 0.9889891217584196, Test Seq Accuracy 0.6895, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.75125
Writing models at epoch 5
Loss 0.0006053696750946667, Test Accuracy 0.9893478187529937, Train Accuracy 0.9999233954688284, Val Accuracy 0.9898369463889495, Test Seq Accuracy 0.7565000000000002, Train Seq Accuracy 0.9982380952380958, Val Seq Accuracy 0.7695000000000001
Loss 0.00013010873985679254, Test Accuracy 0.9894999922617622, Train Accuracy 1.0, Val Accuracy 0.9851412926031196, Test Seq Accuracy 0.7585, Train Seq Accuracy 1.0, Val Seq Accuracy 0.71425
Loss 2.7815155867163252e-05, Test Accuracy 0.9926847736472669, Train Accuracy 1.0, Val Accuracy 0.987532597909803, Test Seq Accuracy 0.8350000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.73075
Loss 4.8383204873813234e-05, Test Accuracy 0.993978256246318, Train Accuracy 1.0, Val Accuracy 0.9815869467413944, Test Seq Accuracy 0.8614999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.68625
Writing models at epoch 9
Loss 7.14369411782726e-05, Test Accuracy 0.9926956464415011, Train Accuracy 1.0, Val Accuracy 0.9911521642104439, Test Seq Accuracy 0.8320000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7964999999999999
Loss 2.4664921827776276e-05, Test Accuracy 0.9934347779854484, Train Accuracy 0.9999937888134587, Val Accuracy 0.9903695554836937, Test Seq Accuracy 0.8489999999999996, Train Seq Accuracy 0.999857142857143, Val Seq Accuracy 0.7805000000000001
Writing models at epoch 11
Loss 1.7286590857269324e-05, Test Accuracy 0.992119559775228, Train Accuracy 1.0, Val Accuracy 0.9914021647494772, Test Seq Accuracy 0.8187499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8022500000000001
Loss 0.002858776437199634, Test Accuracy 0.9880325975625411, Train Accuracy 0.9997587991797405, Val Accuracy 0.9893043374237807, Test Seq Accuracy 0.73125, Train Seq Accuracy 0.9944523809523823, Val Seq Accuracy 0.7597499999999999
Writing models at epoch 13
Loss 8.373032830169667e-05, Test Accuracy 0.992326079632925, Train Accuracy 0.9999968944128996, Val Accuracy 0.9914999920388926, Test Seq Accuracy 0.8314999999999999, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.8045000000000002
Loss 2.7398442161148008e-05, Test Accuracy 0.993967383970385, Train Accuracy 1.0, Val Accuracy 0.9903478190950725, Test Seq Accuracy 0.8619999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7797499999999999
Writing models at epoch 15
Loss 7.94434454292059e-05, Test Accuracy 0.9928478189136671, Train Accuracy 0.9999948240214993, Val Accuracy 0.9928260791560878, Test Seq Accuracy 0.836, Train Seq Accuracy 0.9998809523809523, Val Seq Accuracy 0.835
Loss 1.8371083095426794e-05, Test Accuracy 0.992141295645548, Train Accuracy 1.0, Val Accuracy 0.9893260789954144, Test Seq Accuracy 0.8192499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7620000000000001
Loss 4.1014423755847886e-05, Test Accuracy 0.9904021668693294, Train Accuracy 0.9999782608779567, Val Accuracy 0.9864673834779988, Test Seq Accuracy 0.7812500000000001, Train Seq Accuracy 0.9995000000000002, Val Seq Accuracy 0.7155
Loss 2.1321048615905255e-05, Test Accuracy 0.9896956438603608, Train Accuracy 1.0, Val Accuracy 0.9815543372993883, Test Seq Accuracy 0.789, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6585000000000001
Loss 7.993449284897551e-06, Test Accuracy 0.9914347756168117, Train Accuracy 1.0, Val Accuracy 0.9842282506434814, Test Seq Accuracy 0.8029999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6775
Loss 5.0631813634105996e-06, Test Accuracy 0.9912608626096145, Train Accuracy 1.0, Val Accuracy 0.9848260766786078, Test Seq Accuracy 0.7990000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.68475
Loss 3.8758567509079436e-06, Test Accuracy 0.9912608626096145, Train Accuracy 1.0, Val Accuracy 0.9837173807880153, Test Seq Accuracy 0.7990000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.668
Loss 2.8628887578278133e-06, Test Accuracy 0.9917173840429472, Train Accuracy 1.0, Val Accuracy 0.9845652067142984, Test Seq Accuracy 0.8094999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.67525
Loss 0.0007951890482850697, Test Accuracy 0.9870434682006421, Train Accuracy 0.9999503106063937, Val Accuracy 0.9821195540220841, Test Seq Accuracy 0.7279999999999999, Train Seq Accuracy 0.9988809523809529, Val Seq Accuracy 0.6227500000000001
Loss 0.00044256995391586554, Test Accuracy 0.990847819266112, Train Accuracy 0.9998188404192836, Val Accuracy 0.9882173807724662, Test Seq Accuracy 0.7895, Train Seq Accuracy 0.9958333333333346, Val Seq Accuracy 0.74025
Loss 7.017799045728601e-06, Test Accuracy 0.9913260796795721, Train Accuracy 1.0, Val Accuracy 0.990228250493174, Test Seq Accuracy 0.8005000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7885
Loss 4.952057877191059e-06, Test Accuracy 0.990847819266112, Train Accuracy 1.0, Val Accuracy 0.9900652062633764, Test Seq Accuracy 0.7895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7785
Loss 5.663581364585654e-06, Test Accuracy 0.9911086885825448, Train Accuracy 1.0, Val Accuracy 0.9906304231156473, Test Seq Accuracy 0.7955, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7855
Loss 2.4237843994658603e-06, Test Accuracy 0.9917173840429472, Train Accuracy 1.0, Val Accuracy 0.9892934669619021, Test Seq Accuracy 0.8094999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7649999999999999
Loss 1.967264245689401e-06, Test Accuracy 0.9917173840429472, Train Accuracy 1.0, Val Accuracy 0.9889239020969557, Test Seq Accuracy 0.8094999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.76425
Loss 3.950844478348027e-05, Test Accuracy 0.990847819266112, Train Accuracy 0.9999937888257993, Val Accuracy 0.983934773310371, Test Seq Accuracy 0.7895, Train Seq Accuracy 0.999857142857143, Val Seq Accuracy 0.7462500000000001
Loss 9.387264625452783e-06, Test Accuracy 0.9919239057146985, Train Accuracy 1.0, Val Accuracy 0.9837717305059018, Test Seq Accuracy 0.8239999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7220000000000001
Loss 4.5537956833394e-06, Test Accuracy 0.9951086918944898, Train Accuracy 1.0, Val Accuracy 0.9864239016304845, Test Seq Accuracy 0.8874999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7414999999999999
Loss 3.519679961280654e-06, Test Accuracy 0.9953369531942451, Train Accuracy 1.0, Val Accuracy 0.9879891201205876, Test Seq Accuracy 0.8934999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7627499999999999
Loss 2.4227474173328476e-06, Test Accuracy 0.9953695618587991, Train Accuracy 1.0, Val Accuracy 0.9878586852032205, Test Seq Accuracy 0.8934999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.76075
Loss 1.9515078431299036e-06, Test Accuracy 0.9953695618587991, Train Accuracy 1.0, Val Accuracy 0.9879673807517342, Test Seq Accuracy 0.8934999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7625
Loss 1.313375437546157e-06, Test Accuracy 0.9953695618587991, Train Accuracy 1.0, Val Accuracy 0.9880869458550993, Test Seq Accuracy 0.8934999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7655000000000001
Loss 1.5878676608933702e-06, Test Accuracy 0.9953695618587991, Train Accuracy 1.0, Val Accuracy 0.9883152066365533, Test Seq Accuracy 0.8934999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.77
Loss 9.472474314110435e-07, Test Accuracy 0.9953695618587991, Train Accuracy 1.0, Val Accuracy 0.9884565109791963, Test Seq Accuracy 0.8934999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7725000000000002
Loss 3.41160389918672e-05, Test Accuracy 0.9910434699576834, Train Accuracy 0.9999865424558984, Val Accuracy 0.9878369458343672, Test Seq Accuracy 0.8394999999999999, Train Seq Accuracy 0.9996904761904764, Val Seq Accuracy 0.7579999999999999
Loss 1.3603955385801585e-05, Test Accuracy 0.9900652091140333, Train Accuracy 1.0, Val Accuracy 0.9746847708588061, Test Seq Accuracy 0.8412500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6355000000000001
Loss 7.498574711422881e-06, Test Accuracy 0.9890108606089716, Train Accuracy 0.9999979296085998, Val Accuracy 0.9780325977698616, Test Seq Accuracy 0.82175, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.6837500000000001
Loss 1.1412786198375018e-05, Test Accuracy 0.9924782528825428, Train Accuracy 0.9999958592171995, Val Accuracy 0.9767717283705006, Test Seq Accuracy 0.865, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.6652499999999998
Loss 4.976935958003868e-06, Test Accuracy 0.9892499892607979, Train Accuracy 1.0, Val Accuracy 0.9769999900589819, Test Seq Accuracy 0.8327499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.64675
Loss 2.3705024036842035e-06, Test Accuracy 0.9896521639564763, Train Accuracy 1.0, Val Accuracy 0.9772282491559567, Test Seq Accuracy 0.8332499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.64925
Loss 1.8217251636087894e-06, Test Accuracy 0.9910978177319403, Train Accuracy 1.0, Val Accuracy 0.9777173792538436, Test Seq Accuracy 0.8480000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6560000000000001
Loss 1.475499985921804e-06, Test Accuracy 0.9903043380250102, Train Accuracy 1.0, Val Accuracy 0.9764782503895137, Test Seq Accuracy 0.8402499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.64775
Loss 0.0002246220474657805, Test Accuracy 0.9930869489908218, Train Accuracy 0.9999223602978092, Val Accuracy 0.9887173848307651, Test Seq Accuracy 0.8412500000000002, Train Seq Accuracy 0.9982142857142864, Val Seq Accuracy 0.77425
Loss 1.0443149696347183e-05, Test Accuracy 0.9948586891526762, Train Accuracy 1.0, Val Accuracy 0.9817173845094184, Test Seq Accuracy 0.8817499999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7185000000000001
Loss 6.361629145786814e-06, Test Accuracy 0.9952065169811248, Train Accuracy 1.0, Val Accuracy 0.9812391233185064, Test Seq Accuracy 0.899, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7132499999999999
Loss 2.943328898096376e-06, Test Accuracy 0.9944239065698955, Train Accuracy 1.0, Val Accuracy 0.9821956453116044, Test Seq Accuracy 0.876, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7217499999999999
Loss 2.09124197641833e-06, Test Accuracy 0.9936630372119987, Train Accuracy 1.0, Val Accuracy 0.9820326023775598, Test Seq Accuracy 0.8594999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.71575
Writing models at epoch 52
Loss 1.0512808449161442e-05, Test Accuracy 0.9945760798195135, Train Accuracy 0.9999979296085998, Val Accuracy 0.9921304285526276, Test Seq Accuracy 0.87525, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.83925
Loss 3.096352219986527e-05, Test Accuracy 0.9953152140845423, Train Accuracy 0.9999968944128996, Val Accuracy 0.9906086902255598, Test Seq Accuracy 0.89225, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.8180000000000002
Writing models at epoch 54
