Writing models at epoch 1
Loss 0.04999469674151877, Test Accuracy 0.9598478151404339, Train Accuracy 0.9835745152355968, Val Accuracy 0.9452608569808628, Test Seq Accuracy 0.18525000000000003, Train Seq Accuracy 0.6578095238095237, Val Seq Accuracy 0.07325
Writing models at epoch 2
Loss 0.006814383294271386, Test Accuracy 0.97128259461859, Train Accuracy 0.9971956466542514, Val Accuracy 0.9527282493269962, Test Seq Accuracy 0.39799999999999996, Train Seq Accuracy 0.9378333333333335, Val Seq Accuracy 0.19125
Loss 0.006942852683689283, Test Accuracy 0.9658695520266243, Train Accuracy 0.9983188379255141, Val Accuracy 0.9559673808191134, Test Seq Accuracy 0.26175000000000004, Train Seq Accuracy 0.9618571428571426, Val Seq Accuracy 0.18650000000000003
Writing models at epoch 4
Loss 0.005605671068896418, Test Accuracy 0.9760760759529861, Train Accuracy 0.9989492747724427, Val Accuracy 0.9588912924994593, Test Seq Accuracy 0.4572499999999999, Train Seq Accuracy 0.9762619047619052, Val Seq Accuracy 0.23075
Writing models at epoch 5
Loss 0.0005869417572798936, Test Accuracy 0.9720869449169739, Train Accuracy 0.9999534161688132, Val Accuracy 0.9649021607378255, Test Seq Accuracy 0.36, Train Seq Accuracy 0.9989285714285722, Val Seq Accuracy 0.333
Writing models at epoch 6
Loss 0.0003411284364435984, Test Accuracy 0.9717608587897342, Train Accuracy 1.0, Val Accuracy 0.9663912906594898, Test Seq Accuracy 0.35750000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.35600000000000004
Loss 0.00023224808113730472, Test Accuracy 0.9732391195452732, Train Accuracy 1.0, Val Accuracy 0.9639021609140479, Test Seq Accuracy 0.38849999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.29974999999999996
Loss 0.00017300480976700783, Test Accuracy 0.9729565104712611, Train Accuracy 1.0, Val Accuracy 0.964510856633601, Test Seq Accuracy 0.38625000000000004, Train Seq Accuracy 1.0, Val Seq Accuracy 0.31625000000000003
Loss 0.0001342796275149221, Test Accuracy 0.9725325974433319, Train Accuracy 1.0, Val Accuracy 0.965315204081328, Test Seq Accuracy 0.38175000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.3272500000000001
Loss 0.00010719154354022896, Test Accuracy 0.9725325974433319, Train Accuracy 1.0, Val Accuracy 0.9661195526952329, Test Seq Accuracy 0.38175000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.34325000000000006
Loss 8.7328994160761e-05, Test Accuracy 0.9725325974433319, Train Accuracy 1.0, Val Accuracy 0.966521726483884, Test Seq Accuracy 0.38175000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.35224999999999995
Writing models at epoch 12
Loss 7.221056148409843e-05, Test Accuracy 0.9723912932302641, Train Accuracy 1.0, Val Accuracy 0.9667934660030448, Test Seq Accuracy 0.3789999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.35850000000000015
Writing models at epoch 13
Loss 6.047456079851026e-05, Test Accuracy 0.9723912932302641, Train Accuracy 1.0, Val Accuracy 0.9670543353194776, Test Seq Accuracy 0.3789999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.3645
Loss 5.107631137513596e-05, Test Accuracy 0.9723912932302641, Train Accuracy 1.0, Val Accuracy 0.9659999874622925, Test Seq Accuracy 0.3789999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.34025
